"Date","StateOfOccurrence","Location","Model","Registration","Operator","StateOfOperator","StateOfRegistry","FlightPhase","Class","Fatalities","Over2250","Over5700","ScheduledCommercial","InjuryLevel","TypeDesignator","Helicopter","Airplane","Engines","EngineType","Official","OccCats","Risk","Year"
"""2014-01-03T00:00:00.000Z""","USA","Las Vegas","BOEING 737 800","N-8327A","United States Southwest Airlines Co. (San Antonio, Tx)","USA","USA","Landing","Accident","",true,true,true,"Unknown","B37M",false,true,2,"Jet","","[""ARC""]","RS",2014
"""2014-01-04T00:00:00.000Z""","BRA","São José do Xingu Municipality, State of Mato Grosso","AIR TRACTOR AT502 B","PR-PIC","Brazil Other","","BRA","Landing","Accident",0,true,false,"","None","AT5T",false,true,1,"Turboprop","","[""LOC-G""]","RS",2014
"""2014-01-05T00:00:00.000Z""","IND","Jaipur Airport","AIRBUS A320","VT-ESH","India Air India","IND","IND","Landing","Accident","",true,true,true,"None","A320",false,true,2,"Jet","","[""RE""]","RS",2014
"""2014-01-05T00:00:00.000Z""","USA"," Aspen-Pitkin County Airport, CO (ASE)","Canadair CL-600-2B16 Challenger 601-3R","N115WF","Vineland Corporation","","USA","Landing","Accident",1,true,true,false,"Fatal","CL60",false,true,2,"Jet","","[]","RS",2014
"""2014-01-05T00:00:00.000Z""","SAU","Runway 36, Madinah Airport","BOEING 767 300","HS-BKE","Saudi Arabia Saudi Arabian Airlines","SAU","THA","Landing","Accident",0,true,true,true,"None","C17",false,true,4,"Jet","","[""EVAC"",""ARC"",""SCF-NP""]","RS",2014
"""2014-01-07T00:00:00.000Z""","SDN","Aweil","FOKKER","C5-SSA","Sudan ","SDN","GMB","Landing","Accident","",true,true,true,"Unknown","SUNV",false,true,1,"Piston","","[""RE""]","RS",2014
"""2014-01-08T00:00:00.000Z""","CAN","Stephenville","SAAB 340","C-FPAI","Canada Provincial Express Inc.","CAN","CAN","Landing","Accident",0,true,true,true,"Unknown","SF34",false,true,2,"Turboprop","","[""RE""]","RS",2014
"""2014-01-10T00:00:00.000Z""","","Regina","FAIRCHILD","C-FJKK","Canada ","","CAN","Landing","Accident",0,true,true,"","Unknown","SW3",false,true,2,"Turboprop","","[""RE""]","RS",2014
"""2014-01-10T00:00:00.000Z""","MYS","ULU YAM","CESSNA 172 L","9M-RFC","Malaysia Other","","MYS","","Accident",0,false,false,false,"Minor","C172",false,true,1,"Piston","","[""LOC-I""]","LOC-I",2014
"""2014-01-10T00:00:00.000Z""","AFG"," Eastern Afghanistan","Beechcraft 300 King Air (MARSS)","N195AE","US Army","","USA","En route","Accident",3,true,true,false,"Fatal","B350",false,true,2,"Turboprop","","[]","LOC-I",2014
